               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048477,            0.019734,            0.025009,                   0,                   0,                   0,                   0,            0.073582,             0.01775,            0.041322,             0.00051,             0.00051,             0.09541
                   1,            0.037542,            0.016848,            0.019422,          0.00072769,            0.011765,           0.0001467,           1.467e-05,            0.066675,            0.014835,            0.040183,           0.0010291,           0.0010291,            0.090729
                   2,            0.039909,            0.012011,            0.021759,           0.0014678,            0.018182,          0.00041338,          0.00014403,             0.06266,            0.012557,            0.038273,           0.0015445,           0.0015445,            0.086045
                   3,            0.030007,           0.0098967,            0.016625,             0.77572,            0.011765,            0.013967,           0.0043041,            0.059968,            0.011087,            0.034363,           0.0020535,           0.0020535,            0.081354
                   4,            0.039298,           0.0084851,            0.020266,             0.54232,            0.011765,            0.015617,           0.0058678,            0.057657,            0.010119,            0.032052,           0.0025534,           0.0025534,            0.076653
                   5,            0.041111,            0.011541,             0.02079,             0.20631,            0.035294,           0.0058633,            0.001022,            0.055713,           0.0093673,            0.028761,           0.0030415,           0.0030415,            0.071942
                   6,            0.045257,            0.011245,            0.023186,           0.0070041,             0.19759,           0.0038649,           0.0010685,            0.055217,           0.0086902,            0.026878,           0.0035153,           0.0035153,            0.067215
                   7,            0.026307,           0.0057664,            0.012604,           0.0085431,             0.12745,           0.0099886,            0.002407,            0.053833,            0.008678,            0.026643,           0.0039723,           0.0039723,            0.062472
                   8,            0.033718,           0.0094777,            0.017007,             0.42095,            0.080392,            0.018332,           0.0057377,            0.051091,            0.008659,            0.026397,           0.0044101,           0.0044101,             0.05771
                   9,            0.019367,           0.0047799,           0.0093321,             0.65225,            0.023529,             0.03264,            0.011805,            0.048297,           0.0084785,            0.024955,           0.0048264,           0.0048264,            0.052926
                  10,            0.031308,           0.0097451,            0.014992,             0.81262,            0.070588,            0.019552,           0.0067805,            0.050268,            0.007937,            0.022803,           0.0052193,           0.0052193,            0.048119
                  11,             0.04232,            0.011498,            0.020212,             0.42383,             0.17451,            0.012761,           0.0027849,            0.048024,           0.0080029,            0.022105,           0.0055866,           0.0055866,            0.043287
                  12,            0.030623,           0.0078168,            0.013536,             0.20625,             0.23627,           0.0094394,           0.0027793,            0.050521,           0.0076659,            0.021414,           0.0059267,           0.0059267,            0.038427
                  13,            0.035933,           0.0067105,            0.017214,             0.81953,            0.035294,            0.013183,           0.0028111,            0.048002,           0.0075296,            0.020502,            0.006238,            0.006238,            0.033538
                  14,            0.031626,           0.0058977,            0.012399,             0.81646,            0.047059,            0.019694,           0.0085995,            0.047399,           0.0078451,            0.024313,            0.006519,            0.006519,            0.028619
                  15,            0.035099,           0.0066565,             0.01282,             0.62349,            0.082353,            0.019538,           0.0047776,            0.053695,           0.0070367,            0.022514,           0.0067685,           0.0067685,            0.023669
                  16,            0.035473,           0.0078392,            0.013194,             0.63003,            0.070588,            0.028254,           0.0085614,            0.049858,           0.0076184,            0.020898,           0.0069856,           0.0069856,            0.018686
                  17,            0.033167,           0.0081248,            0.013571,             0.86343,            0.035294,            0.024295,           0.0078457,            0.051406,           0.0075192,            0.020135,           0.0071695,           0.0071695,            0.013669
                  18,            0.040589,            0.009316,            0.016211,             0.61587,             0.11078,            0.022353,           0.0087532,              0.0489,           0.0080238,            0.018614,           0.0073196,           0.0073196,           0.0086196
                  19,            0.028544,           0.0061561,           0.0095753,             0.64852,            0.023529,            0.026108,           0.0080695,            0.051074,           0.0079049,            0.018151,           0.0071566,           0.0071566,           0.0071566
                  20,             0.03425,           0.0084809,           0.0098305,             0.21996,             0.20936,            0.017616,           0.0066633,            0.048696,              0.0081,            0.016891,           0.0071566,           0.0071566,           0.0071566
                  21,            0.033955,            0.008249,            0.010483,             0.45882,             0.18016,            0.030078,           0.0080423,             0.04784,           0.0082819,            0.018546,           0.0068906,           0.0068906,           0.0068906
                  22,            0.025039,           0.0063926,            0.008568,              0.2379,             0.21622,             0.03495,            0.014452,             0.04437,           0.0084718,            0.018801,           0.0066191,           0.0066191,           0.0066191
                  23,            0.032565,           0.0070306,            0.012446,             0.83956,            0.035294,            0.031255,           0.0076155,            0.049656,           0.0079783,            0.019611,           0.0063432,           0.0063432,           0.0063432
                  24,            0.029108,           0.0055928,            0.010903,             0.64378,             0.24118,            0.062268,             0.02066,            0.047619,           0.0080218,             0.01782,            0.006064,            0.006064,            0.006064
                  25,            0.028903,           0.0094564,           0.0099522,             0.82735,            0.035294,            0.022317,            0.008094,            0.045242,           0.0077497,            0.014994,           0.0057826,           0.0057826,           0.0057826
                  26,            0.036089,           0.0080502,            0.014946,             0.67595,             0.10882,            0.043934,            0.011611,             0.04731,           0.0076482,            0.015232,              0.0055,              0.0055,              0.0055
                  27,            0.029715,            0.007269,            0.010326,             0.22133,             0.26578,            0.021754,           0.0064142,             0.04965,           0.0076009,            0.016145,           0.0052174,           0.0052174,           0.0052174
                  28,             0.03087,           0.0063789,            0.010084,             0.22844,             0.22112,            0.020675,           0.0054533,            0.045473,           0.0079996,            0.018658,            0.004936,            0.004936,            0.004936
                  29,            0.042495,            0.011788,            0.015185,             0.46016,             0.10053,            0.028419,            0.010832,            0.043145,           0.0082047,            0.017737,           0.0046568,           0.0046568,           0.0046568
