               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11093,            0.098423,            0.051313,           0.0022435,           0.0072946,           0.0015098,          0.00023386,             0.10262,            0.078291,            0.048128,             0.00124,             0.00124,             0.08884
                   1,             0.10618,             0.11846,            0.043729,            0.010046,            0.019898,           0.0041123,          0.00073863,             0.10474,            0.071612,            0.034672,           0.0024878,           0.0024878,            0.077588
                   2,             0.10244,            0.096079,            0.030331,             0.69702,            0.039033,            0.019107,           0.0036998,            0.093517,            0.061966,            0.025234,           0.0037267,           0.0037267,            0.066327
                   3,            0.094411,             0.08788,            0.024221,              0.7176,            0.091441,            0.031507,           0.0065963,            0.091102,            0.063509,            0.017942,           0.0049502,           0.0049502,             0.05505
                   4,            0.092602,            0.080392,            0.018721,             0.72459,            0.096074,            0.037602,           0.0072743,             0.08834,            0.054623,            0.015912,           0.0061518,           0.0061518,            0.043752
                   5,            0.093014,            0.080226,            0.016393,             0.73384,            0.096138,            0.040738,           0.0082127,            0.089626,            0.051762,            0.014225,            0.007325,            0.007325,            0.032425
                   6,            0.090616,            0.077637,            0.015997,             0.72767,             0.13098,            0.047472,            0.010609,            0.086567,            0.053022,            0.013284,           0.0084638,           0.0084638,            0.021064
                   7,            0.088645,            0.079084,            0.014136,             0.75004,             0.11425,            0.062364,            0.014875,            0.077974,            0.056219,            0.013109,           0.0095622,           0.0095622,           0.0096622
                   8,            0.086702,            0.077797,            0.013738,             0.74198,             0.12453,            0.060392,            0.013005,            0.080073,            0.051141,            0.014077,           0.0094434,           0.0094434,           0.0094434
                   9,            0.081841,            0.076655,            0.013487,             0.79369,            0.098073,            0.088204,            0.020037,            0.079051,            0.049475,             0.01243,           0.0094434,           0.0094434,           0.0094434
                  10,            0.078108,            0.074493,            0.013017,             0.77452,             0.12869,             0.10959,            0.030116,            0.074663,            0.049262,            0.012027,           0.0092995,           0.0092995,           0.0092995
                  11,            0.076963,            0.079594,            0.013662,             0.81018,              0.1313,             0.12259,            0.035576,            0.072988,            0.049479,            0.011896,           0.0091406,           0.0091406,           0.0091406
                  12,            0.076694,             0.07696,            0.013072,             0.81688,              0.1379,             0.13167,            0.038198,            0.070085,            0.049462,            0.011865,           0.0089673,           0.0089673,           0.0089673
                  13,              0.0748,            0.074874,            0.012695,             0.84381,              0.1281,             0.14511,            0.044681,            0.070228,            0.048584,            0.011598,           0.0087804,           0.0087804,           0.0087804
                  14,            0.073037,            0.080347,            0.013005,             0.83544,              0.1381,             0.15701,            0.052339,            0.068533,             0.04835,            0.011565,           0.0085805,           0.0085805,           0.0085805
                  15,            0.071272,             0.07799,              0.0126,             0.85073,             0.13207,             0.16152,            0.062372,            0.065222,            0.047966,            0.011309,           0.0083684,           0.0083684,           0.0083684
                  16,            0.069298,            0.079918,            0.012173,             0.86322,             0.13258,             0.18233,            0.078305,            0.064543,            0.047255,             0.01077,            0.008145,            0.008145,            0.008145
                  17,            0.068425,            0.071059,            0.012483,             0.85604,             0.13977,              0.2087,            0.087478,            0.064819,            0.046978,            0.010397,           0.0079112,           0.0079112,           0.0079112
                  18,            0.068744,            0.071421,            0.011147,             0.50593,             0.27268,             0.20748,            0.073726,            0.065343,            0.046704,            0.010167,           0.0076679,           0.0076679,           0.0076679
                  19,            0.067685,            0.073827,            0.011774,             0.51225,             0.29554,             0.22216,            0.097483,            0.063083,            0.046192,            0.010024,            0.007416,            0.007416,            0.007416
                  20,            0.067545,            0.074167,            0.011109,             0.51119,             0.29639,              0.2239,             0.09584,             0.06233,             0.04595,           0.0098306,           0.0071566,           0.0071566,           0.0071566
                  21,            0.066492,            0.071347,            0.010865,             0.49143,             0.31525,             0.22467,             0.10184,            0.061841,            0.045835,           0.0098211,           0.0068906,           0.0068906,           0.0068906
                  22,            0.064638,            0.069383,            0.011363,             0.68816,             0.25659,             0.23487,            0.099637,            0.060751,            0.045726,           0.0094823,           0.0066191,           0.0066191,           0.0066191
                  23,            0.065696,            0.074747,            0.010762,             0.53541,             0.30171,             0.24378,             0.11353,            0.060469,            0.045443,           0.0093173,           0.0063432,           0.0063432,           0.0063432
                  24,            0.064864,            0.070774,            0.010224,             0.73217,             0.24089,             0.24622,             0.11118,            0.061558,            0.045374,           0.0091034,            0.006064,            0.006064,            0.006064
                  25,            0.063781,             0.06676,            0.010499,             0.71815,             0.25169,             0.24898,             0.12012,            0.059409,             0.04496,           0.0090272,           0.0057826,           0.0057826,           0.0057826
                  26,            0.063363,            0.070976,            0.010179,             0.60331,             0.27299,             0.25348,             0.11894,            0.059264,              0.0451,           0.0089058,              0.0055,              0.0055,              0.0055
                  27,            0.063155,            0.069868,           0.0094111,             0.57156,             0.28295,             0.25674,             0.11992,            0.059979,            0.044909,           0.0087886,           0.0052174,           0.0052174,           0.0052174
                  28,            0.063988,            0.075406,            0.010222,             0.61849,             0.25569,              0.2646,             0.12625,            0.059118,            0.044603,           0.0087098,            0.004936,            0.004936,            0.004936
                  29,             0.06287,            0.071984,           0.0096637,             0.56857,             0.30051,             0.26337,              0.1263,            0.058099,            0.044396,           0.0085449,           0.0046568,           0.0046568,           0.0046568
                  30,            0.062489,            0.071167,           0.0096083,              0.7841,             0.23603,             0.27005,              0.1293,            0.058295,            0.044264,           0.0084504,           0.0043809,           0.0043809,           0.0043809
                  31,            0.061444,            0.067067,           0.0091688,             0.62591,             0.25127,             0.27398,             0.13458,             0.05765,            0.044268,           0.0083372,           0.0041094,           0.0041094,           0.0041094
                  32,            0.062268,             0.07749,           0.0093294,              0.6266,             0.28496,             0.27575,             0.12981,            0.057671,            0.043836,           0.0082461,           0.0038434,           0.0038434,           0.0038434
                  33,            0.060569,            0.068827,           0.0092783,             0.59067,             0.30684,             0.28211,             0.14053,            0.057177,             0.04395,            0.008152,            0.003584,            0.003584,            0.003584
                  34,             0.06075,            0.071726,           0.0092415,             0.58806,             0.31367,             0.27982,             0.13443,            0.056714,            0.043552,           0.0081269,           0.0033321,           0.0033321,           0.0033321
                  35,            0.061047,            0.068337,           0.0091575,              0.5865,             0.30546,             0.28323,             0.14565,            0.056803,            0.043587,           0.0079935,           0.0030888,           0.0030888,           0.0030888
                  36,            0.060113,            0.074174,           0.0096533,             0.59127,             0.30037,              0.2865,              0.1483,            0.056823,            0.043302,           0.0079312,            0.002855,            0.002855,            0.002855
                  37,            0.060202,            0.063864,           0.0093784,             0.59973,             0.30234,             0.28768,             0.14752,            0.056293,            0.043196,           0.0079386,           0.0026316,           0.0026316,           0.0026316
                  38,            0.059662,            0.073103,           0.0086542,             0.60823,             0.29914,             0.29158,             0.15209,            0.056116,            0.043005,           0.0077925,           0.0024195,           0.0024195,           0.0024195
                  39,            0.059402,            0.071953,           0.0090739,             0.61862,             0.29123,              0.2931,             0.15399,            0.055858,             0.04289,           0.0077344,           0.0022196,           0.0022196,           0.0022196
                  40,            0.059719,            0.070028,           0.0091377,             0.60945,             0.30871,             0.29322,             0.15459,            0.056087,            0.042984,           0.0076604,           0.0020327,           0.0020327,           0.0020327
                  41,            0.060199,            0.068965,           0.0088073,              0.6179,             0.30426,             0.29347,             0.15428,            0.055838,            0.042935,           0.0076513,           0.0018594,           0.0018594,           0.0018594
                  42,             0.06009,            0.074896,           0.0093019,             0.63824,             0.28735,               0.294,             0.15528,            0.055645,            0.042705,           0.0076072,           0.0017005,           0.0017005,           0.0017005
                  43,            0.058526,             0.06931,           0.0086696,             0.64207,             0.29615,             0.29539,             0.15563,            0.055536,            0.042755,           0.0075956,           0.0015566,           0.0015566,           0.0015566
                  44,            0.059475,            0.070199,           0.0085584,             0.63941,             0.29549,             0.29052,             0.15493,            0.055507,            0.042808,           0.0075879,           0.0014283,           0.0014283,           0.0014283
                  45,            0.059061,            0.066203,           0.0087721,             0.61516,             0.30843,             0.29252,             0.15469,            0.055404,            0.042699,           0.0075794,            0.001316,            0.001316,            0.001316
                  46,            0.058606,            0.067304,           0.0093502,             0.63073,             0.30752,             0.29487,             0.15791,            0.055274,            0.042543,            0.007501,           0.0012202,           0.0012202,           0.0012202
                  47,            0.058658,            0.065564,           0.0092747,             0.61452,             0.32679,              0.2965,              0.1601,             0.05518,            0.042568,           0.0074395,           0.0011414,           0.0011414,           0.0011414
                  48,            0.058543,             0.06836,           0.0088762,             0.65635,             0.29527,             0.29882,             0.16138,            0.055091,            0.042499,           0.0074097,           0.0010797,           0.0010797,           0.0010797
                  49,            0.059303,            0.069982,           0.0087668,             0.65144,             0.29532,             0.30433,             0.16288,            0.055216,            0.042518,           0.0074421,           0.0010355,           0.0010355,           0.0010355
